Unnamed: 0,번호,제목,저자,출판사,출판일
,56,The Mary Rose Project: A New Museum^3),"Harrison, R. F.",unknown,1984
,57,The Collection of Egyptian Mummies in the British Museum: Overview and Potential for Study,"Taylor, J.H.",THE BRITISH MUSEUM,2014
,58,Report of the Museum's Second Year,unknown,Cleveland Museum of Art,1918
,59,The Museum's Committees outside New York,unknown,The Museum of Modern Art,1938
,60,The Museum's Future,"GOODYEAR, A. C.",The Museum of Modern Art,1934
,61,The Museum's Activities 1932-1933,unknown,The Museum of Modern Art,1934
,62,Egyptian Funerary Boat Model in the Australian Museum: Dating and Analysis,"Florek, Stan; Bleechmore, Heather; Jones, Jana; McGregor, Colin; Pogson, Ross; Specht, Jim",AUSTRALIAN MUSEUM,2021
,63,An Art Museum's Influence in War Times,unknown,Cleveland Museum of Art,1917
,64,Science and Conservation at the British Museum: A Nineteenth-Century Legacy,"Watkins, S. C.",British Museum,1997
,65,How did Kutsuki Masatsuna's Coins Come to the British Museum?,"Wang, H.",THE BRITISH MUSEUM,2010
,66,"""The Twenty-Four-Inch Box in Your Living Room is Not a Museum"" – Early Experiments in Museum Television","Rasmussen, Briley",MANEY PUBLISHING,2019
,67,Creating Interfaith Dialogue in Art Museums: A Community and Museum Collaboration,"Burroughs, Ann Murphy; Sitzer, Bill",MANEY PUBLISHING,2022
,68,"Teaching the Museum: Careers in Museum Education, by Leah M. Melber","Spero, S.B.",MANEY PUBLISHING,2014
,69,Learning to Teach in a Museum: Benefits of a Museum–University Partnership,"Hamilton, Erica R.; Margot, Kelly C.",MANEY PUBLISHING,2020
,70,"THE SUMMIT HERPETOFAUNA OF AUYANTEPUI, VENEZUELA: REPORT FROM THE ROBERT G. GOELET AMERICAN MUSEUM-TERRAMAR EXPEDITION","Myers, C.W.; Donnelly, M.A.",THE AMERICAN MUSEUM OF NATURAL HISTORY,2008
,71,"HERPETOFAUNA OF THE YUTAJE-COROCORO MASSIF, VENEZUELA: SECOND REPORT FROM THE ROBERT G. GOELET AMERICAN MUSEUM-TERRAMAR EXPEDITION TO THE NORTHWESTERN TEPUIS","Myers, C. W.; Donnelly, M. A.",THE AMERICAN MUSEUM OF NATURAL HISTORY,2001
,72,Engaging the d/Deaf Audience in Museums: A Case Study at the Calouste Gulbenkian Museum,"Martins, Patrícia Roque",MANEY PUBLISHING,2016
,73,Rodents in Museums: Not Only a Gnawing Problem!,"Meyer, A.",unknown,1998
,74,Conducting Research in a Medical Science Museum: Lessons Learned from Collaboration Between Researchers and Museum Educators,"Durksen, Tracy L.; Martin, Andrew J.; Burns, Emma C.; Ginns, Paul; Williamson, Derek; Kiss, Julia",MANEY PUBLISHING,2017
,75,Total Quality Management in Museums: An Investigation Into the Adaptive Relevance of TQM in the Museums Sector,"Bowsher, C.",ATHLONE PRESS,1999
,76,The Schooling of Museums: An NSF/Carnegie Science Curriculum Project,unknown,AAM,1988
,77,What Matters most for museums? Individual and social influences on employees' innovative behaviour,"Goulaptsi, Ioanna; Manolika, Maria; Tsourvakas, George",Taylor & Francis,2020
,78,Exhibiting Madness in Museums: Remembering Psychiatry through Collections and Display edited by Catharine Coleborne and Dolly MacKinnon,"Walters, Diana",Maney Publishing,2012
,79,The Modernity of the Museum: Sharing and Creating Knowledge Through Confrontation with the Material Evidences of the Past and the Present,"Van Praët, Michel",Wiley-Blackwell,2019
,80,Intentional practice for museums: a guide for maximizing impact,"Soren, Barbara J.",Taylor & Francis,2019
,81,The Inventory of the Kabul Museum: Attempts at Restoring Order,"Grissmann, C.",BLACKWELL PUBLISHERS,2003
,82,Changing Epistemologies in the Museum: An Evolving Relationship with Nature,"Dorfman, Eric",Wiley-Blackwell,2019
,83,An analysis of negative reviews in top art museums' Facebook sites,"Waller, David S.; Waller, Helen J.",Taylor & Francis,2019
,84,Importance-performance analysis of the Taipei Fine Arts Museum's services,"Lin, Y. N.",Taylor & Francis,2009
,85,A digital museum's contribution to diversity – a user study,"Gran, Anne-Britt; Lager Vestberg, Nina; Booth, Peter; Ogundipe, Anne",Taylor & Francis,2019
,86,Affect and trauma in museums: an interpretive framework for understanding the real thing and its political potential,"Stylianou, Elena",Taylor & Francis,2019
,87,"Translating Museums: A Counterhistory of South Asian Museology. Shaila Bhatti. walnut creek, ca: left coast press, inc., 2012. 301 pp.","Korom, F. J.",BLACKWELL,2013
,88,Fostering Civic Dialogue: A New Role for Science Museums?,"Reich, C.; Bell, L.; Kollmann, E.K.; Chin, E.",LEFT COAST PRESS INC,2007
,89,Can You Do That in a Children's Museum?,"Wood, E.; Cole, S.",LEFT COAST PRESS INC,2007
,90,"HOLOPHUSICON, The Leverian Museum: An Eighteenth-Century English Institution of Science, Curiosity, and Art. Adrienne L. Kaeppler. Altenstaldt: zfk publishers, 2011. 308 Pp.","Waterfield, H.",BLACKWELL,2012
,91,"Climate in Crisis: Climate in Crisis: Environmental Change in the Indigenous Americas. Exhibit at the Brooklyn Museum. brooklyn, february 14, 2020–june 20, 2021","Kisin, Eugenia",John Wiley & Sons Ltd,2022
,92,"The Parental Role in Children's Museums: Perceptions, Attitudes, and Behaviors","Downey, S.; Krantz, A.; Skidmore, E.",LEFT COAST PRESS INC,2010
,93,REPATRIATION FROM SCOTTISH MUSEUMS: Learning from NAGPRA,"Curtis, N. G.",BLACKWELL,2010
,94,"A Living Exhibition: The Smithsonian and the Transformation of the Universal Museum. William, S. Walker. Amherst: University of Massachusetts Press, 2013. 304 PP.","Message, K.",BLACKWELL,2014
,95,Post-observation conversations in the museum: using the self-evaluation of the supervisee as the starting point,"Schep, Mark; van Boxtel, Carla; Noordegraaf, Julia",Taylor & Francis,2018
,96,"In the Spirit of the Ancestors: Contemporary Northwest Coast Art at the Burke Museum. Robin K. Wright and Kathryn Bunn-Marcuse, eds. Seattle: University of Washington Press, 2013. 150 PP.","Montiel, A.",BLACKWELL,2014
,97,The status of natural history museums' utilisation of inclusive education practices in the United States of America,"Wysocki, M. Aleksander",Taylor & Francis,2019
,98,What is an `intelligent museum'? A Japanese view,"Mizushima, E.",BLACKWELL PUBLISHERS,2001
,99,"The mummy and the medical gaze: digital visualisations in the British Museum’s exhibition Ancient lives, new discoveries","Wagner, Karin",Taylor & Francis,2017
,100,Indigenous representation in the 'moral museum': perspectives from classical ethical theory,"Harris, Beatrice",Taylor & Francis,2018
,1,Cape Cod Children's Museum's Little Sprouts Kids' Garden,"Lieberman, Lori",LEFT COAST PRESS INC,2012
,2,Exchanging Memories in the Australian Museum: Migrant Stories and Bonegilla Migrant Centre,"Dellios, Alexandra",LEFT COAST PRESS INC,2014
,3,The relevant museum: defining relevance in museological practices,"Nielsen, Jane K.",Taylor & Francis,2015
,4,The role of technologies in cultural mediation in museums: an Actor-Network Theory view applied in France,"Kefi, H.; Pallud, J.",Taylor & Francis,2011
,5,Public Benefits or Commercial Gains: Chinese Museums' Online Activities in the Covid-19 Age,"Jin, Yang; Min, Liang",Wiley-Blackwell,2021
,6,Copyright Management in Museums: Expediency or Necessity?,"Pluszyńska, Anna",Wiley-Blackwell,2021
,7,The Empty Museum: A Southeast Asian Perspective,"Labrador, Ana Maria Theresa P.",Wiley-Blackwell,2021
,8,"Gathering Voices: Thomas Jefferson and Native America. Exhibit at the American Philosophical Society Museum. philadelphia, pa: April 10-December 30, 2016.","Williams, L. F.",John Wiley & Sons Ltd,2017
,9,The community service museum: owning up to our multiple missions,"Jacobsen, J.W.",Taylor & Francis,2014
,10,The Museum's Silent Sexual Performance,"Sanders, J.H.",LEFT COAST PRESS INC,2008
,11,Is there Space for Spirituality in the Contemporary Museum?,"Simpson, Moira G.",LEFT COAST PRESS INC,2013
,12,"On Race and Museums: Starting Conversations, Embracing Action","Brown, Aleia",LEFT COAST PRESS INC,2015
,13,Tomorrow's Museum: Multilingual Audiences and the Learning Institution,"Martin, Jenni; Jennings, Marilee",LEFT COAST PRESS INC,2015
,14,What is `the real thing' in the museum? An interpretative phenomenological study,"Latham, K.F.",Taylor & Francis,2015
,15,Humanized museums? How digital technologies become relational tools,"Marini, Camilla",Taylor & Francis,2022
,16,Engaging with Homeless Adults in Museums: Considerations for Where to Begin,"Kinsley, Rose Paquet",LEFT COAST PRESS INC,2013
,17,Object relations in the museum: a psychosocial perspective,"Froggett, L.; Trustram, M.",Taylor & Francis,2014
,18,Maintaining Aboriginal engagement in Australian museums: two models of inclusion,"Schultz, L.",Taylor & Francis,2014
,19,"Frederick Johnson's ""River Desert Algonquin"" Materials at the University of Pennsylvania Museum: A Collection History","Norcini, M.",BLACKWELL,2008
,20,Putting Them in Museums? Reimagining the Path Forward,"Auslander, M.",John Wiley & Sons Ltd,2018
,21,Curating creation: allowing `the divine a foot in the door' of Leeds City Museum?,"Carnegie, E.",Taylor & Francis,2014
,22,Ethical issues of social media in museums: a case study,"Wong, A.",Taylor & Francis,2011
,23,Secret Museums: Hidden Histories of Sex and Sexuality,"Frost, S.",LEFT COAST PRESS INC,2008
,24,The State Hermitage and the Kunsthistorisches Museum: The Cooperation of Two Great Art Institutions,"Pichorner, F.",BLACKWELL PUBLISHERS,2003
,25,Inclusion in museums: a matter of social justice,"Kinsley, Rose Paquet",Taylor & Francis,2016
,26,Ways of relating: museum–municipality collaborations for safeguarding built heritage,"Knudsen, Line Vestergaard",Taylor & Francis,2020
,27,Social media analytics in museums: extracting expressions of inspiration,"Gerrard, David; Sykora, Martin; Jackson, Thomas",Taylor & Francis,2017
,28,Using artwork to market sensitive issues within heritage museums: three case studies,"Bennett, Roger; Shaw, Stephen; Kottasz, Rita",Taylor & Francis,2016
,29,‘Virtual museums’ as digital collection complexes. A museological perspective using the example of Hans-Gross-Kriminalmuseum,"Biedermann, Bernadette",Taylor & Francis,2017
,30,The War Childhood Museum: Creation and Principles,"Halilović, Jasminko",Wiley-Blackwell,2019
,31,The Definition of the Museum: History and Issues,"Mairesse, François",Wiley-Blackwell,2019
,32,"Museums: Geopolitics, Decolonisation, Globalisation and Migration","Abungu, George Okello",Wiley-Blackwell,2019
,33,Reducing risky relationships: criteria for forming positive museum-corporate sponsorships,"Proteau, Jasmine",Taylor & Francis,2018
,34,"Bone Rooms: From Scientific Racism to Human Prehistory in Museums. Samuel J. Redman. cambridge, ma: harvard university press, 2016. 373pp.","Kieffer, C. L.",John Wiley & Sons Ltd,2017
,35,"Communicating heritage in museums: outlook, strategies and challenges through a SWOT analysis","Martín-Cáceres, Myriam José; Cuenca-López, José María",Taylor & Francis,2016
,36,The British Consular Service in the Aegean and the Collection of Antiquities for the British Museum. By Lucia P. Gunning,"Smith, M. L.",BLACKWELL,2011
,37,Transforming Historic Architecture into Viable Museums: The Conservation Perspective,"Lukin, V.",BLACKWELL PUBLISHERS,2003
,38,"Imagined Museums: Art and Modernity in Postcolonial Morocco. Katarzyna Pieprzak. Minneapolis: university of minnesota press, 2010. 280 pp.","Ilahiane, H.",BLACKWELL,2012
,39,The Yinxu Museum: the Ruins of Yin and the Yin-Shang Culture,"Jigen, T.",BLACKWELL PUBLISHERS,2008
,40,Faces in the museum: revising the methods of facial reconstructions,"Hayes, Susan",Taylor & Francis,2016
,41,The Art of Feminist-Queering the Museum: Gate-leaking,"Grácio, Rita; Coutinho, Andreia C.; Falé, Laura; Sobreira, Maribel",Wiley-Blackwell,2020
,42,"Suitcases, keys and handkerchiefs: how are objects being used to collect and tell migrant stories in Australian museums?","O'Reilly, Chiara; Parish, Nina",LEFT COAST PRESS INC,2017
,43,Gender Perspective and Museums: Gender as a Tool in the Interpretation of Collections,"Cuesta Davignon, Liliane Inés",Wiley-Blackwell,2020
,44,"A New Concept: `Capital, My Museum'","An, Y.",BLACKWELL PUBLISHERS,2008
,45,There She Goes Again: A Project on Gender Representation in Norwegian Museums' Collections and Exhibition Practices,"Holm, Mona; Aarbakke, Thea",Wiley-Blackwell,2020
,46,TripAdvisor Reviews of London Museums: A New Approach to Understanding Visitors,"Alexander, Victoria D.; Blank, Grant; Hale, Scott A.",Wiley-Blackwell,2018
,47,'Virtual museums' as digital collection complexes. A museological perspective using the example of Hans-Gross-Kriminalmuseum,"Biedermann, Bernadette",Taylor & Francis,2017
,48,The Process Is Part of the Solution: Insights from the German Collaborative Project museum4punkt0,"Glinka, Katrin",Wiley-Blackwell,2018
,49,"The acropolis museum: contextual contradictions, conceptual complexities",unknown,Wiley-Blackwell,2017
,50,The Modern Museum: Requirements and Problems of a New Approach,"Varine‐bohan, Hugues",Wiley-Blackwell,2014
,51,Leisure-A function of museums? The Taiwan perspective,"Lin, Y. N.","Elsevier Science B.V., Amsterdam.",2006
,52,The nation's museums: politics and policies,"Smith, C. S.",BUTTERWORTH-HEINEMANN,2001
,53,What Is a Maritime Museum?,"Hicks, R. D.",BUTTERWORTH-HEINEMANN,2001
,54,Adoption: Where Does It Fit in Museums?,"Linz, S.",LEFT COAST PRESS INC,2011
,55,Historicizing the Museum's Recent Past,"Labrum, Bronwyn",Maney Publishing,2012
,56,Philosophy and the museum: An introduction to the special issue,"Lord, B.","Elsevier Science B.V., Amsterdam.",2006
,57,Babies and Museums: Connecting Generations through Art,"Levy, Tatiana",Wiley-Blackwell,2013
,58,America's first circulating museum: The object collection of the library company of Philadelphia,"Zytaruk, Maria",Maney Publishing,2017
,59,"Lost to museums? Changing media, their worlds, and performance","Hölling, Hanna B.",Maney Publishing,2017
,60,The Nubia Museum's Role in the Community,"Meguid, O. A.",BLACKWELL PUBLISHERS,2005
,61,Storytelling as a Means of Disseminating Knowledge in Museums: the Example of Sigana Moto Moto,"Agan, A. O.",BLACKWELL PUBLISHERS,2006
,62,Digital gatekeepers and website visitors of the Acropolis Museum: revisiting gatekeeping theory in the cultural domain,"Kyprianos, Konstantinos; Sifaki, Eirini; Bantimaroudis, Philemon",Taylor & Francis,2020
,63,The Republic Museum's Social and Environmental Programme: Proposals and Action for Social Change,"Saladino, A.",BLACKWELL PUBLISHERS,2012
,64,"Museums: A Visual Anthropology. Mary Bouquet. London: Berg, 2012. 243 PP.","Solomonian, A.",BLACKWELL,2014
,65,"The Acropolis Museum: Contextual Contradictions, Conceptual Complexities","Filippopoulou, Ersi",Wiley-Blackwell,2017
,66,"Representing Africa in American Art Museums: A Century of Collecting and Display. Kathleen Bickford Berzock and Christa Clarke, eds. seattle: university of washington press, 2011. 312 pp.","Stokes, D.",BLACKWELL,2013
,67,City Museums: do we have a role in shaping the global community?,"Lohman, J.",BLACKWELL PUBLISHERS,2006
,68,Casino and Museum: Representing Mashantucket Pequot Identity by John J. Bodinger de Uriarte,"ANDERSON, C. R.",BLACKWELL,2009
,69,Identifying Accessibility Barriers in Heritage Museums: Conceptual Challenges in a Period of Change,"Papadimitriou, Nikolas; Plati, Marina; Markou, Eleni; Catapoti, Despina",Wiley-Blackwell,2016
,70,National Treasures or Just Old Stuff? The Palace Museum's Evacuation to Sichuan,"Kyong-McClain, Jeff",Maney Publishing,2015
,71,"The Postcolonial Museum: The Arts of Memory and the Pressures of History. Iain Chambers, Alessandra De Angelis, Celeste Ianniciello, Mariangela Orabona, and Michaela Quadraro, eds. Burlington, VT: Ashgate Publishing Limited, 2014. 271 pp.","Thomas, D.",John Wiley & Sons Ltd,2017
,72,Keeping the Faith: Judaica from the Aron Museum.,"BERLINGER, G. A.",BLACKWELL,2009
,73,"Re-engaging the university museum: knowledge, collections and communities at University College London","Were, G.",Taylor & Francis,2010
,74,District Six Museum: Activists for Change,"Bennett, Bonita",Wiley-Blackwell,2016
,75,The Vietnam Women's Museum: The Promotion of Women's Rights to Gender Equality and Gender Issues,"Tuyet, N. T.",BLACKWELL PUBLISHERS,2007
,76,Museums: Targets or Instruments of Cultural Policies?:,"Boylan, P. J.",BLACKWELL PUBLISHERS,2006
,77,Museum-University Collaborations to Enhance Evaluation Capacity,"Owen, K.; Visscher, N.",MANEY PUBLISHING,2015
,78,The Shemanovsky Yamal-Nenets Museum: prospects and challenges,"Grishin, S. Y.",BLACKWELL PUBLISHERS,2006
,79,Languages at Play in the Museum: The Case of Belgium and her Multilingual Arts and Heritage Institutions,"Shelley, Rebecca",LEFT COAST PRESS INC,2015
,80,Sustainable museums: strategies for the 21st century,"Worts, D.",Taylor & Francis,2011
,81,Methods for studying family visitors in art museums: A cross-disciplinary review of current research,"Sterry, P.; Beaumont, E.","Elsevier Science B.V., Amsterdam.",2006
,82,'A Most Complete Whaling Museum': Profiting from the Past on Nantucket Island,"Bruggeman, Seth C.",Maney Publishing,2015
,83,Fashion at the museum: successful experiences with student curators,"Blanco F., J.",Taylor & Francis,2010
,84,Climate museums: powering action,"Newell, Jenny",Taylor & Francis,2020
,85,Redefining Multilingualism in Museums: A Case for Broadening Our Thinking,"Garibay, Cecilia; Yalowitz, Steven;",LEFT COAST PRESS INC,2015
,86,The audit and management of a museum's media image,"Dates, M.; Illia, L.",Taylor & Francis,2009
,87,The city is the museum!,"Collins, Anne Marie",unknown,1995
,88,"Commentary: Of ""Historical Ambivalence in a Tribal Museum""","Nesper, L.",BLACKWELL,2009
,89,Young children developing meaning-making practices in a museum: the role of boundary objects,"Carr, M.; Clarkin-Phillips, J.; Beer, A.; Thomas, R.; Waitai, M.",Taylor & Francis,2012
,90,Using myth for enhancing cultural identity in the museum: case study research in Greece,"Vasiliadou, X.",Taylor & Francis,2012
,91,Autonomy and performance of local museums: the case of Czech Republic,"Plaček, Michal; Ochrana, František; Půček, Milan; Nemec, Juraj; Křápek, Milan; del Campo, Cristina",Taylor & Francis,2021
,92,"Through a Mirror in a Riddle: A Response to ""Historical Ambivalence in a Tribal Museum""","Martin, M. G.; Guthrie, G. J.",BLACKWELL,2009
,93,Tourists expectations and perceptions of the Robben Island Museum-a world heritage site,"Phaswana-Mafuya, N.; Haydam, N.","Elsevier Science B.V., Amsterdam.",2005
,94,From Tony Garnier to the Urban Museum: the birth of a cultural housing project,"Chenevez, A.",BLACKWELL PUBLISHERS,2004
,95,How transformational leadership influences museums' performance: a contextual ambidexterity view,"Nunes, Francisco Guilherme; Fernandes, Alexandra; Martins, Luís Dias; Nascimento, Generosa do",Taylor & Francis,2021
,96,"The origins of museums: the cabinet of curiosities in sixteenth and seventeenth century Europe,","Cannon-Brookes, P.",BUTTERWORTH-HEINEMANN,2001
,97,"Exhibiting Europe in Museums: Transnational Networks, Collections, Narratives and Representations. Wolfram Kaiser, Stefan Krankenhagen, and Kerstin Poehls. NEW YORK: BERGHAHN, 2014. 254 PP.","Watson, S.",BLACKWELL,2015
,98,Centering the museum: writings for the post-covid age,"Munley, Mary Ellen",Taylor & Francis,2021
,99,"Religious Objects in Museums: Private Lives and Public Duties. Crispin, Paine. LONDON: BLOOMSBURY ACADEMIC, 2013. 144 PP.","Maki, A.",BLACKWELL,2015
,100,COLLECTING FOR A COLLEGE MUSEUM: Exchange Practices and the Life History of a 19th-Century Arctic Collection,"Margaris, A. V.; Grimm, L. T.",BLACKWELL,2011
,1,Museum-based research: a typological exploration,"Sigfúsdóttir, Ólöf Gerður",Taylor & Francis,2022
,2,What is ‘the real thing’ in the museum? An interpretative phenomenological study,"Latham, K.F.",Taylor & Francis,2015
,3,Collecting the Opening with Cuba: A US Museum's Opportunity to Preserve Diplomatic History in Real Time,"Speckart, Kathryn G.",Wiley-Blackwell,2016
,4,Curating creation: allowing 'the divine a foot in the door' of Leeds City Museum?,"Carnegie, Elizabeth",Taylor & Francis,2014
,5,"Sustainability, economic value and socio-cultural impacts of museums: a theoretical proposition of a research method","Orea-Giner, Alicia; De-Pablos-Heredero, Carmen; Vacas Guerrero, Trinidad",Taylor & Francis,2021
,6,What is 'the real thing' in the museum? An interpretative phenomenological study,"Latham, K.F.",Taylor & Francis,2015
,7,Curating creation: allowing ‘the divine a foot in the door’ of Leeds City Museum?,"Carnegie, Elizabeth",Taylor & Francis,2014
,8,The 'Guggentube' Phenomenon: Breaking the Boundaries of a 'Digital Museum' Space,"Grincheva, Natalia",Wiley-Blackwell,2018
,9,Web Strategy in Museums: An Italian Survey Stimulates New Visions,"Orlandi, Sarah Dominique; Calandra, Gianfranco; Ferrara, Vincenza; Marras, Anna Maria; Radice, Sara; Bertacchini, Enrico; Nizzo, Valentino; Maffei, Tiziana",Wiley-Blackwell,2018
,10,The Janitor and his museum: John Wilson (1775–1832) and the teaching of 'practical zoology' in early nineteenth-century Edinburgh,"Swinney, Geoffrey N.; McGowan, Robert Y.",Maney Publishing,2018
